,close,dif,up,dn,cmo
0,79.95,,,,
1,79.76,-0.19,,,
2,79.08,-0.68,,,
3,79.95,0.87,,,
4,84.77,4.82,,,
5,84.49,-0.28,,,
6,85.84,1.35,,,
7,84.58,-1.26,,,
8,84.49,-0.09,,,
9,84.58,0.09,,,
10,84.0,-0.58,,,
11,85.06,1.06,,,
12,84.68,-0.38,,,
13,84.58,-0.1,,,
14,84.87,0.29,,,
15,84.58,-0.29,,,
16,85.64,1.06,,,
17,86.41,0.77,,,
18,88.54,2.13,,,
19,88.54,0.0,,,
20,87.19,-1.35,,,
21,88.34,1.15,,,
22,88.73,0.39,,,
23,96.35,7.62,,,
24,100.3,3.95,,,
25,101.27,0.97,26.52,5.2,67.21
26,103.2,1.93,28.45,5.2,69.09
27,104.16,0.96,29.41,5.01,70.89
28,103.68,-0.48,29.41,4.81,71.89
29,100.3,-3.38,28.54,8.19,55.4
30,102.71,2.41,26.13,8.19,52.27
31,111.88,9.17,35.3,7.91,63.39
32,111.39,-0.49,33.95,8.4,60.33
33,109.95,-1.44,33.95,8.58,59.65
34,110.91,0.96,34.91,8.49,60.88
35,110.43,-0.48,34.82,8.97,59.03
36,112.84,2.41,37.23,8.39,63.22
37,117.18,4.34,40.51,8.39,65.69
38,118.63,1.45,41.96,8.01,67.94
39,117.66,-0.97,41.96,8.88,65.07
40,118.63,0.97,42.64,8.88,65.53
41,114.29,-4.34,42.64,12.93,53.46
42,107.54,-6.75,41.58,19.68,35.75
43,108.98,1.44,42.25,19.68,36.44
44,112.36,3.38,43.5,19.68,37.7
45,112.36,0.0,43.5,19.68,37.7
46,109.95,-2.41,43.5,20.74,35.43
47,109.46,-0.49,42.35,21.23,33.22
48,109.95,0.49,42.45,21.23,33.32
49,108.98,-0.97,34.83,22.2,22.15
50,106.09,-2.89,30.88,25.09,10.34
51,107.05,0.96,30.87,25.09,10.33
52,107.54,0.49,29.43,25.09,7.96
53,106.57,-0.97,28.47,26.06,4.42
54,112.36,5.79,34.26,25.58,14.51
55,108.02,-4.34,34.26,26.54,12.7
56,108.02,0.0,31.85,26.54,9.09
57,111.39,3.37,26.05,26.54,-0.93
58,110.43,-0.96,26.05,27.01,-1.81
59,110.91,0.48,26.53,25.57,1.84
60,109.46,-1.45,25.57,27.02,-2.76
61,110.91,1.45,27.02,26.54,0.9
62,111.39,0.48,25.09,26.54,-2.81
63,112.84,1.45,22.2,26.54,-8.9
64,115.73,2.89,23.64,26.54,-5.78
65,116.7,0.97,24.61,25.57,-1.91
66,118.63,1.93,25.57,25.57,0.0
67,121.52,2.89,28.46,21.23,14.55
68,124.9,3.38,31.84,14.48,37.48
69,119.11,-5.79,30.4,20.27,19.99
70,125.38,6.27,33.29,20.27,24.31
71,125.86,0.48,33.77,20.27,24.98
72,123.45,-2.41,33.77,20.27,24.98
73,122.0,-1.45,33.77,21.23,22.8
74,122.0,0.0,33.28,21.23,22.11
75,123.93,1.93,35.21,20.26,26.95
76,124.9,0.97,36.18,17.37,35.13
77,119.59,-5.31,35.22,22.68,21.66
78,117.18,-2.41,34.73,25.09,16.12
79,119.11,1.93,36.66,24.12,20.63
80,118.14,-0.97,30.87,25.09,10.33
81,115.73,-2.41,30.87,23.16,14.27
82,116.22,0.49,31.36,23.16,15.04
83,118.14,1.92,29.91,23.16,12.72
84,117.18,-0.96,29.91,23.16,12.72
85,116.7,-0.48,29.43,23.64,10.91
86,119.11,2.41,31.84,22.19,17.86
87,117.18,-1.93,30.39,24.12,11.5
88,117.66,0.48,30.39,24.12,11.5
89,115.73,-1.93,28.94,26.05,5.26
90,113.32,-2.41,26.05,28.46,-4.42
91,114.77,1.45,26.53,28.46,-3.51
92,113.32,-1.45,24.6,29.91,-9.74
93,114.29,0.97,22.68,29.91,-13.75
94,112.84,-1.45,19.3,31.36,-23.81
95,111.88,-0.96,19.3,26.53,-15.78
96,108.5,-3.38,13.03,29.91,-39.31
97,104.64,-3.86,12.55,33.77,-45.81
98,106.09,1.45,14.0,31.36,-38.27
99,108.5,2.41,16.41,29.91,-29.15
100,113.32,4.82,21.23,29.91,-16.97
101,108.98,-4.34,19.3,34.25,-27.92
102,103.2,-5.78,18.33,40.03,-37.18
103,98.37,-4.83,18.33,39.55,-36.66
104,99.34,0.97,19.3,37.14,-31.61
105,100.78,1.44,18.81,37.14,-32.76
106,94.71,-6.07,18.81,42.24,-38.38
107,103.2,8.49,27.3,39.83,-18.67
108,101.27,-1.93,26.81,41.76,-21.8
109,102.23,0.96,25.85,41.76,-23.53
110,105.61,3.38,29.23,40.8,-16.52
111,105.61,0.0,29.23,40.32,-15.95
112,108.02,2.41,29.23,40.32,-15.95
113,107.54,-0.48,29.23,38.87,-14.16
114,105.61,-1.93,28.75,40.8,-17.33
115,107.05,1.44,30.19,38.87,-12.57
116,109.46,2.41,32.6,36.46,-5.59
117,110.43,0.97,32.12,36.46,-6.33
118,108.02,-2.41,32.12,37.42,-7.62
119,107.05,-0.97,31.15,38.39,-10.41
120,108.02,0.97,32.12,36.94,-6.98
121,106.57,-1.45,32.12,37.43,-7.63
122,106.57,0.0,32.12,34.05,-2.92
123,105.61,-0.96,32.12,31.15,1.53
124,106.57,0.96,31.63,31.15,0.76
125,109.46,2.89,32.11,31.15,1.52
126,108.98,-0.48,27.29,31.63,-7.37
127,107.54,-1.44,27.29,28.73,-2.57
128,108.98,1.44,28.73,22.95,11.18
129,107.54,-1.44,28.73,19.56,18.99
130,104.64,-2.9,27.76,22.46,10.55
131,104.64,0.0,26.32,22.46,7.91
132,107.54,2.9,29.22,16.39,28.13
133,108.98,1.44,22.17,16.39,14.99
134,108.98,0.0,22.17,14.46,21.05
135,107.54,-1.44,21.21,15.9,14.31
136,107.54,0.0,17.83,15.9,5.72
137,108.02,0.48,18.31,15.9,7.04
138,108.02,0.0,15.9,15.9,0.0
139,107.54,-0.48,15.9,15.9,0.0
140,112.84,5.3,21.2,13.97,20.56
141,112.36,-0.48,19.76,14.45,15.52
142,110.91,-1.45,17.35,15.9,4.36
143,111.39,0.48,16.86,15.9,2.93
144,109.95,-1.44,16.86,14.93,6.07
145,110.91,0.96,17.82,13.96,12.15
146,112.36,1.45,18.3,13.96,13.45
147,111.88,-0.48,18.3,12.99,16.97
148,115.25,3.37,21.67,12.99,25.04
149,115.25,0.0,21.67,12.03,28.61
150,112.36,-2.89,20.71,14.92,16.25
151,110.43,-1.93,17.82,16.85,2.8
152,108.5,-1.93,17.82,18.3,-1.33
153,110.5,2.0,19.82,16.86,8.07
154,110.5,0.0,18.38,16.86,4.31
155,110.0,-0.5,18.38,15.92,7.17
156,111.5,1.5,19.88,13.02,20.85
157,110.5,-1.0,19.88,14.02,17.29
158,111.0,0.5,17.48,14.02,10.98
159,110.0,-1.0,16.04,15.02,3.28
160,113.0,3.0,19.04,15.02,11.8
161,111.5,-1.5,19.04,15.08,11.61
162,112.0,0.5,19.54,15.08,12.88
163,112.0,0.0,19.06,15.08,11.66
164,112.5,0.5,19.56,15.08,12.93
165,112.0,-0.5,19.56,15.1,12.87
166,108.5,-3.5,14.26,18.6,-13.21
167,109.0,0.5,14.76,18.12,-10.22
168,109.0,0.0,14.76,16.67,-6.08
169,109.0,0.0,14.28,16.67,-7.72
170,107.5,-1.5,14.28,16.73,-7.9
171,107.5,0.0,13.32,16.73,-11.35
172,107.0,-0.5,11.87,17.23,-18.42
173,103.0,-4.0,11.87,20.75,-27.22
174,104.5,1.5,10.0,20.75,-34.96
175,107.5,3.0,13.0,20.75,-22.96
176,109.0,1.5,14.5,17.86,-10.38
177,108.5,-0.5,14.5,16.43,-6.24
178,107.5,-1.0,14.5,15.5,-3.33
179,108.0,0.5,13.0,15.5,-8.77
180,109.0,1.0,14.0,15.5,-5.08
181,111.0,2.0,16.0,15.0,3.23
182,111.0,0.0,14.5,15.0,-1.69
183,111.5,0.5,15.0,14.0,3.45
184,112.5,1.0,15.5,14.0,5.08
185,111.0,-1.5,15.5,14.5,3.33
186,108.5,-2.5,12.5,17.0,-15.25
187,107.5,-1.0,12.5,16.5,-13.79
188,107.0,-0.5,12.0,17.0,-17.24
189,108.0,1.0,13.0,17.0,-13.33
190,106.5,-1.5,12.5,18.5,-19.35
191,107.5,1.0,13.5,18.0,-14.29
192,108.5,1.0,14.5,14.5,0.0
193,107.5,-1.0,14.0,15.5,-5.08
194,108.5,1.0,15.0,15.5,-1.64
195,107.0,-1.5,15.0,17.0,-6.25
196,106.5,-0.5,15.0,16.0,-3.23
197,107.5,1.0,16.0,16.0,0.0
198,107.5,0.0,16.0,15.5,1.59
199,106.5,-1.0,16.0,12.5,12.28
200,105.0,-1.5,14.5,14.0,1.75
201,105.0,0.0,11.5,14.0,-9.8
202,103.0,-2.0,10.0,16.0,-23.08
203,103.0,0.0,10.0,15.5,-21.57
204,101.5,-1.5,10.0,16.0,-23.08
205,103.0,1.5,11.0,16.0,-18.52
206,107.0,4.0,14.0,16.0,-6.67
207,108.0,1.0,13.0,16.0,-10.34
208,105.0,-3.0,13.0,19.0,-18.75
209,105.5,0.5,13.0,19.0,-18.75
210,106.5,1.0,13.0,19.0,-18.75
211,109.5,3.0,16.0,17.5,-4.48
212,107.5,-2.0,16.0,17.0,-3.03
213,107.0,-0.5,16.0,16.5,-1.54
214,107.5,0.5,16.5,16.0,1.54
215,108.0,0.5,16.0,16.0,0.0
216,107.5,-0.5,16.0,15.0,3.23
217,108.0,0.5,15.5,15.0,1.64
218,109.0,1.0,15.5,15.0,1.64
219,108.0,-1.0,15.5,15.0,1.64
220,108.5,0.5,15.0,15.0,0.0
221,107.0,-1.5,15.0,15.0,0.0
222,106.5,-0.5,15.0,15.0,0.0
223,107.5,1.0,15.0,15.0,0.0
224,107.5,0.0,15.0,15.0,0.0
225,108.0,0.5,15.5,14.0,5.08
226,109.0,1.0,16.5,12.5,13.79
227,107.5,-1.5,16.5,14.0,8.2
228,108.0,0.5,17.0,12.0,17.24
229,109.0,1.0,18.0,12.0,20.0
230,107.5,-1.5,18.0,12.0,20.0
231,109.0,1.5,18.0,12.0,20.0
232,108.0,-1.0,14.0,13.0,3.7
233,108.0,0.0,13.0,13.0,0.0
234,107.0,-1.0,13.0,11.0,8.33
235,107.0,0.0,12.5,11.0,6.38
236,106.5,-0.5,11.5,11.5,0.0
237,106.5,0.0,8.5,11.5,-15.0
238,106.0,-0.5,8.5,10.0,-8.11
239,105.5,-0.5,8.5,10.0,-8.11
240,105.0,-0.5,8.0,10.5,-13.51
241,103.5,-1.5,7.5,12.0,-23.08
242,103.5,0.0,7.5,11.5,-21.05
243,103.5,0.0,7.0,11.5,-24.32
244,105.5,2.0,8.0,11.5,-17.95
245,105.0,-0.5,8.0,11.0,-15.79
246,105.0,0.0,7.5,11.0,-18.92
247,106.5,1.5,9.0,9.5,-2.7
248,106.0,-0.5,9.0,9.5,-2.7
249,105.0,-1.0,8.0,10.5,-13.51
250,106.0,1.0,9.0,10.5,-7.69
251,105.0,-1.0,8.5,11.5,-15.0
252,104.5,-0.5,7.5,12.0,-23.08
253,104.5,0.0,7.5,10.5,-16.67
254,105.0,0.5,7.5,10.5,-16.67
255,103.5,-1.5,6.5,12.0,-29.73
256,103.5,0.0,6.5,10.5,-23.53
257,103.0,-0.5,5.0,11.0,-37.5
258,104.5,1.5,6.5,10.0,-21.21
259,103.5,-1.0,6.5,11.0,-25.71
260,104.0,0.5,7.0,10.0,-17.65
261,104.0,0.0,7.0,10.0,-17.65
262,104.5,0.5,7.5,9.5,-11.76
263,105.5,1.0,8.5,9.5,-5.56
264,105.0,-0.5,8.5,9.5,-5.56
265,104.0,-1.0,8.5,10.0,-8.11
